no_of_dependents,education_encoded,self_employed_encoded,income_annum,loan_amount,loan_term,cibil_score_encoded,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status_encoded
4,1,1,2000000,8000000,6,4,5100000,2600000,3900000,2900000,1
2,0,0,9800000,37600000,10,2,24100000,0,23400000,7600000,1
4,1,0,5700000,21100000,18,1,500000,4300000,12500000,6000000,0
4,1,0,8800000,20700000,18,1,19200000,3200000,22400000,12700000,0
4,1,0,3800000,8900000,4,4,9100000,3500000,13100000,4700000,1
1,1,0,1700000,6400000,10,1,900000,1100000,5600000,2100000,0
2,1,0,1000000,2000000,10,1,1200000,400000,3200000,1300000,0
5,1,0,300000,1100000,2,1,100000,500000,700000,400000,1
2,1,1,6600000,15000000,18,1,1200000,4800000,18200000,7000000,0
2,0,0,8700000,25000000,20,4,14700000,8500000,23200000,7300000,1
4,1,0,9400000,29400000,12,2,25900000,15200000,36400000,7100000,1
0,1,0,4400000,10800000,14,1,2400000,4800000,13800000,4700000,0
4,0,0,400000,900000,12,1,700000,100000,1200000,100000,0
2,0,1,300000,1100000,2,3,300000,200000,500000,200000,1
2,0,1,4300000,12900000,20,2,11400000,3600000,11400000,2400000,1
4,1,0,1600000,4500000,12,2,700000,1700000,4100000,1900000,1
5,0,1,6200000,23600000,10,1,18500000,10300000,23800000,8700000,0
3,0,1,4200000,9700000,16,4,7800000,300000,16700000,5100000,1
4,0,1,9000000,18100000,12,4,600000,16500000,20800000,11600000,1
0,1,0,2700000,10600000,6,2,1300000,2700000,9900000,1800000,1
1,1,1,9700000,35900000,2,3,19600000,7600000,20400000,10900000,1
2,1,0,3300000,6800000,14,1,3400000,300000,11700000,3600000,0
0,0,0,300000,1100000,8,4,800000,200000,900000,100000,1
3,1,1,7400000,18200000,14,1,5600000,3100000,17900000,5000000,0
5,0,0,7100000,19700000,8,1,7300000,5600000,25300000,9800000,0
5,0,1,7300000,22100000,18,4,19500000,10600000,19300000,9800000,1
1,0,0,8400000,23400000,14,1,15400000,5800000,33400000,8100000,0
0,0,1,3300000,10800000,12,4,600000,6000000,7700000,3300000,1
4,0,1,5800000,23200000,18,1,16100000,4200000,22600000,7500000,0
0,0,0,600000,1600000,6,2,1500000,600000,1500000,700000,1
0,0,0,7200000,15800000,12,1,12700000,12200000,21500000,3600000,0
1,0,1,9100000,32900000,2,3,2200000,2000000,23600000,5900000,1
5,1,0,900000,2300000,16,1,100000,200000,2700000,800000,0
2,1,0,800000,3200000,8,1,300000,1000000,2000000,900000,0
1,0,0,8500000,32900000,10,2,5100000,6200000,20500000,5500000,1
0,0,1,9000000,18700000,18,4,26800000,0,20900000,11300000,1
3,1,0,7000000,19500000,14,3,12200000,10300000,18200000,10200000,1
3,1,0,200000,600000,16,4,400000,100000,500000,100000,1
4,0,1,400000,800000,10,4,900000,500000,800000,200000,1
3,0,0,5100000,18200000,10,1,100000,8000000,15500000,6300000,0
2,0,1,700000,2600000,12,1,1600000,1300000,2700000,800000,0
3,1,0,400000,1200000,12,4,200000,600000,1100000,200000,1
0,0,1,9500000,20800000,14,2,15100000,11900000,33900000,13400000,1
5,1,0,8800000,22600000,10,1,7900000,8600000,18200000,4900000,0
3,0,1,1800000,3600000,18,1,600000,500000,5400000,2600000,0
4,0,1,6800000,13900000,8,1,11700000,9100000,25700000,9600000,0
3,0,0,1500000,5500000,16,3,2100000,800000,4400000,1300000,1
3,1,0,1600000,5500000,12,1,600000,800000,5400000,900000,0
2,0,0,4600000,16700000,2,4,200000,5900000,13900000,6100000,1
5,0,1,2200000,6700000,6,1,4400000,1300000,8600000,1100000,0
3,0,1,2900000,8500000,12,2,1000000,3100000,7500000,1800000,1
0,1,0,200000,700000,8,1,500000,200000,700000,100000,0
2,0,1,2500000,9400000,10,3,6600000,4100000,9500000,3300000,1
4,0,0,3600000,7500000,6,4,1100000,6500000,7400000,2800000,1
0,1,1,5500000,16700000,18,4,5500000,1300000,12800000,5900000,1
4,0,0,6600000,17400000,20,1,2600000,10000000,25900000,7200000,0
2,1,1,8600000,32100000,6,4,9400000,16700000,24500000,9800000,1
5,0,0,600000,1500000,14,1,300000,900000,2100000,300000,0
3,1,1,1400000,3200000,20,4,2400000,900000,5100000,1600000,1
3,1,0,4000000,11100000,12,2,9700000,100000,12500000,2400000,1
0,0,1,4900000,11900000,16,3,14600000,900000,18500000,3800000,1
5,1,0,2000000,6200000,18,1,4000000,2100000,7200000,1100000,0
1,0,1,5200000,19300000,8,1,14300000,9500000,18800000,4200000,0
5,1,1,8900000,28800000,6,4,13600000,5500000,20400000,8400000,1
1,1,1,6500000,20600000,2,1,15900000,1900000,18100000,3200000,1
2,0,0,1300000,4500000,6,1,0,900000,2900000,1200000,0
3,0,0,9400000,35000000,16,1,18200000,4400000,36100000,4800000,0
5,0,0,5000000,11200000,8,3,9100000,500000,14000000,4600000,1
2,1,0,3000000,7700000,12,4,4700000,4300000,8400000,2100000,1
5,0,1,9900000,33300000,6,1,5300000,18700000,27800000,8300000,0
5,1,1,700000,1300000,20,3,1600000,0,2200000,600000,1
3,1,1,4000000,10600000,10,1,1500000,5100000,8000000,4900000,0
5,0,0,3100000,9600000,2,4,5800000,1800000,10400000,4200000,1
4,0,0,4500000,15100000,6,3,3700000,1500000,17800000,6000000,1
3,0,0,9700000,20600000,16,1,24200000,11100000,27400000,6100000,0
2,0,1,2000000,5300000,10,3,4900000,1400000,4300000,2900000,1
2,1,1,8100000,22300000,18,3,22300000,12600000,27000000,7300000,1
0,0,0,5700000,15900000,16,2,100000,9500000,16300000,4500000,1
4,0,0,5800000,12800000,2,3,500000,5000000,16000000,2800000,1
1,1,0,1800000,6500000,6,1,2500000,3200000,5000000,1100000,0
4,0,1,9100000,35200000,6,1,1000000,300000,23100000,8200000,0
0,0,1,4800000,17500000,2,1,11700000,6800000,18700000,3500000,1
3,0,1,3800000,10500000,12,4,4000000,500000,14900000,2300000,1
0,0,0,1900000,4100000,18,4,400000,800000,4800000,1200000,1
3,0,1,3600000,9500000,16,3,7700000,2400000,9700000,2600000,1
2,0,1,7400000,28200000,8,1,21900000,5000000,17400000,5200000,0
4,0,1,6600000,14300000,8,1,10800000,9500000,18500000,7400000,0
2,1,0,1800000,5300000,6,4,4500000,700000,6500000,1300000,1
4,0,0,9200000,27200000,12,4,4500000,1800000,33800000,11400000,1
5,0,1,2400000,8600000,8,1,500000,600000,5700000,2800000,0
4,0,0,5600000,13300000,20,4,3300000,7500000,20000000,6500000,1
5,1,0,3800000,13900000,12,1,4700000,2900000,8200000,2800000,0
3,0,1,4500000,17900000,6,4,9800000,3600000,14300000,4200000,1
0,1,1,900000,2200000,16,2,100000,700000,2000000,600000,1
0,0,0,2800000,9900000,8,3,4900000,1300000,6700000,1700000,1
2,0,0,7500000,23100000,4,4,12100000,10900000,26300000,9500000,1
4,1,0,1400000,3100000,14,2,3000000,2100000,4900000,1400000,1
2,1,1,3800000,10900000,10,4,1900000,3900000,8600000,3000000,1
1,0,1,1700000,5000000,10,4,2900000,900000,4100000,2200000,1
3,1,1,9000000,30400000,6,2,16800000,11000000,26900000,9200000,1
5,0,1,7300000,23300000,6,2,7100000,11600000,26400000,10500000,1
1,0,0,7400000,19800000,18,1,12600000,6200000,27700000,4000000,0
1,0,0,9000000,28200000,16,1,1700000,2300000,24000000,11200000,0
0,0,0,3000000,6500000,2,2,8800000,3400000,6700000,1700000,1
1,1,0,800000,2900000,8,3,2200000,1100000,2900000,700000,1
2,1,0,4800000,13200000,2,2,13700000,5800000,9500000,5200000,1
5,0,0,6400000,18300000,8,3,10000000,3600000,22500000,3600000,1
3,1,0,9200000,27100000,12,1,5800000,11500000,28000000,9600000,0
4,0,1,400000,1500000,2,3,-100000,600000,900000,500000,1
2,0,0,2800000,6000000,18,4,6300000,4200000,8000000,3400000,1
4,0,1,8500000,28900000,20,1,15200000,5800000,22500000,9400000,0
3,1,1,4700000,16400000,10,1,11400000,8100000,16200000,4300000,0
4,0,1,9800000,21200000,20,1,22000000,8900000,31800000,14400000,0
2,0,1,3800000,8900000,16,1,200000,5600000,12200000,2200000,0
2,1,0,500000,1500000,2,4,1500000,300000,1500000,600000,1
2,1,1,6900000,15600000,6,1,13000000,5300000,22600000,10000000,0
4,0,1,9600000,30100000,12,4,300000,6700000,38200000,5600000,1
3,0,0,2900000,6500000,18,4,8300000,600000,10400000,3200000,1
2,1,0,9800000,20900000,12,4,3400000,10200000,38600000,13400000,1
0,1,0,7100000,15400000,18,3,10300000,10800000,19600000,5800000,1
1,0,1,7700000,19100000,10,1,11300000,4900000,21900000,6600000,0
3,1,0,1400000,3300000,2,3,100000,2100000,3500000,1900000,1
3,1,0,7800000,15900000,2,3,14400000,900000,27200000,5400000,1
5,0,1,1700000,6000000,18,1,500000,1600000,3700000,2300000,0
2,0,0,8500000,32700000,18,1,12600000,9400000,33900000,12500000,0
5,0,0,1900000,7500000,20,3,5100000,2800000,6500000,2800000,1
2,0,1,6700000,15200000,10,3,0,8200000,15000000,6800000,1
3,1,1,6900000,16400000,4,4,11100000,6100000,26400000,3800000,1
2,1,0,2600000,7800000,4,4,3100000,4300000,5700000,1500000,1
4,1,1,9600000,21100000,6,4,16100000,9500000,34700000,8700000,1
1,0,1,6800000,17000000,2,3,15500000,3900000,23700000,3500000,1
0,0,0,3200000,11300000,6,1,3500000,5500000,8500000,2100000,0
4,0,0,2900000,10400000,6,3,5100000,1700000,10600000,1700000,1
3,1,1,7900000,21200000,18,3,13800000,10600000,21800000,4900000,1
4,0,1,3900000,12400000,12,1,6400000,4700000,13100000,3800000,0
4,1,1,4600000,11000000,2,1,9000000,4000000,16100000,3500000,0
3,0,1,700000,1700000,8,3,1200000,800000,2400000,500000,1
0,0,0,5200000,15600000,20,1,14100000,5800000,18100000,5500000,0
3,0,1,5900000,20600000,10,4,1900000,4600000,21200000,6400000,1
4,1,0,7200000,19100000,4,4,9400000,7000000,17900000,3600000,1
1,0,1,8700000,27000000,10,3,25500000,8600000,17500000,9100000,1
3,0,1,1100000,3500000,12,1,3000000,400000,2200000,1200000,0
1,1,1,4000000,10900000,14,2,3600000,6600000,13600000,4400000,1
2,1,0,9800000,32400000,2,1,24200000,17500000,25700000,7700000,1
0,0,1,2700000,6800000,20,4,700000,4200000,7000000,1900000,1
3,0,1,8800000,34600000,8,1,14800000,16500000,18400000,6000000,0
5,0,1,3300000,7800000,16,2,8500000,500000,7100000,4900000,1
1,1,1,6900000,23400000,4,1,18700000,1100000,23400000,10200000,1
3,1,1,900000,3500000,4,4,700000,0,2000000,600000,0
3,1,1,4100000,15500000,6,3,2800000,1600000,14700000,4000000,1
3,0,1,4700000,17500000,8,2,1200000,3100000,9600000,4900000,1
5,1,1,3400000,11600000,16,1,9200000,5700000,11200000,2400000,0
2,1,0,9600000,22500000,18,4,7400000,16200000,24300000,12700000,1
3,0,1,7000000,16200000,6,1,20000000,12600000,20300000,5500000,0
5,1,0,5700000,12900000,18,4,4100000,900000,18600000,5500000,1
1,0,1,8200000,32400000,18,4,22800000,12300000,17700000,7800000,1
2,0,0,2100000,5100000,12,3,2200000,3200000,6400000,2400000,1
1,0,1,8000000,28100000,18,3,1900000,12800000,23000000,7500000,1
2,0,0,8000000,29300000,4,2,16500000,13200000,29400000,6500000,1
0,0,1,9400000,27000000,10,1,4400000,1700000,33800000,4800000,0
0,1,0,8400000,20600000,10,1,1500000,1500000,25000000,11900000,0
1,0,1,1900000,5000000,6,2,1000000,1900000,6300000,1400000,1
0,0,1,4200000,16400000,20,1,9500000,2100000,11400000,3100000,0
5,1,0,2600000,9100000,8,4,3700000,700000,10300000,3300000,1
3,0,0,3700000,8500000,20,4,8300000,5700000,7500000,4900000,1
0,1,0,8800000,30900000,12,3,1700000,700000,25700000,11400000,1
2,0,0,2100000,4700000,2,1,6000000,3200000,5700000,1500000,0
3,1,1,900000,2400000,10,1,800000,0,2800000,500000,0
3,1,1,9800000,35400000,6,4,14400000,16400000,22800000,10300000,1
2,0,0,8000000,20000000,2,1,4100000,2200000,31600000,9900000,0
0,1,0,9800000,38800000,8,3,23200000,19000000,29700000,5400000,1
0,0,1,300000,1100000,8,4,400000,100000,800000,400000,1
4,0,0,2700000,8100000,4,1,5000000,800000,9900000,3400000,1
3,1,1,7400000,19600000,2,3,4100000,8900000,29100000,4200000,1
3,1,0,9200000,34300000,18,1,25600000,4000000,29100000,8800000,0
5,0,0,9500000,22200000,20,1,24500000,0,30800000,7000000,0
5,1,1,3800000,14400000,2,1,3300000,800000,13000000,4700000,1
0,1,0,8300000,19400000,18,2,2500000,16100000,24300000,11300000,1
2,1,1,2800000,7400000,18,3,100000,2300000,6300000,3400000,1
0,1,0,8600000,20900000,10,4,11300000,11900000,26000000,4800000,1
0,0,0,5400000,16800000,10,2,5300000,7400000,14500000,7600000,1
5,1,1,4200000,9400000,6,3,4700000,5500000,9900000,5700000,1
5,0,0,5200000,12200000,20,1,13400000,2000000,16800000,5400000,0
5,1,0,9400000,27900000,4,4,1100000,200000,29500000,10400000,1
3,1,0,8800000,20400000,8,1,3200000,11400000,28200000,11800000,0
1,1,1,5900000,16700000,16,1,5800000,8800000,19100000,5300000,0
3,1,1,1700000,4900000,16,2,4700000,1000000,4300000,1400000,1
1,0,0,7000000,23000000,10,4,14000000,3700000,26700000,3600000,1
4,0,0,1700000,4000000,6,4,0,1600000,5200000,1700000,1
0,0,0,1500000,4900000,12,3,1600000,2800000,4600000,800000,1
4,0,0,2000000,4700000,18,3,3700000,3700000,7000000,2800000,1
5,1,1,3900000,15500000,12,1,9500000,5400000,7900000,4600000,0
1,1,1,900000,3600000,14,3,1300000,1000000,1800000,1200000,1
1,1,0,6900000,22500000,18,1,800000,8400000,16900000,6300000,0
0,1,1,2800000,7800000,10,1,7800000,2500000,7100000,3400000,0
3,1,1,6800000,19900000,10,1,16000000,6000000,26000000,8500000,0
4,0,1,600000,1800000,8,1,1700000,700000,1800000,800000,0
1,0,0,4700000,14000000,6,1,11300000,1800000,10600000,4600000,0
5,1,1,3000000,11800000,10,3,8700000,3600000,9800000,4100000,1
5,0,0,4000000,13900000,6,1,6000000,5600000,12500000,6000000,0
1,0,1,3100000,11300000,14,4,3700000,6000000,11000000,4400000,1
1,0,1,7700000,25500000,12,1,18100000,10600000,20500000,7000000,0
5,0,1,4300000,9300000,10,1,2100000,6700000,10000000,4100000,0
1,1,1,5800000,19500000,20,1,13800000,5000000,15600000,3300000,0
3,1,1,3600000,10700000,16,1,2300000,1600000,13100000,5200000,0
0,0,1,2900000,7600000,8,1,8000000,5600000,9600000,3100000,0
0,1,0,8800000,20200000,4,1,16000000,4200000,30500000,12400000,0
1,0,1,300000,1000000,10,1,400000,500000,900000,100000,0
5,0,1,8600000,28900000,8,1,9900000,1800000,30200000,6800000,0
2,0,1,3500000,12000000,14,1,1100000,6800000,12400000,2900000,0
5,1,0,800000,2600000,6,2,100000,200000,3000000,1000000,1
2,1,0,8000000,27100000,12,3,14400000,400000,25300000,6400000,1
0,0,1,9900000,38200000,6,2,17200000,10000000,20100000,5900000,1
2,0,0,3300000,6600000,6,1,6300000,2000000,8900000,2700000,0
4,1,1,2000000,6700000,12,2,100000,800000,4800000,2000000,1
3,0,0,4900000,12900000,18,4,1800000,7000000,17900000,3300000,1
5,0,1,9200000,23600000,12,3,1400000,11200000,36400000,4900000,1
0,0,0,7500000,18200000,6,4,7400000,12000000,19800000,4100000,1
5,0,0,9000000,29300000,4,1,10400000,9500000,35500000,5800000,1
3,0,0,1400000,4100000,8,1,3000000,1400000,2900000,2100000,0
3,1,0,9600000,19900000,14,1,4200000,16200000,28500000,6600000,0
2,1,0,8400000,33200000,14,1,19600000,15000000,25400000,11500000,0
3,0,0,6400000,24400000,4,1,7800000,2400000,19100000,4500000,1
4,1,0,5900000,16800000,8,1,6900000,11400000,19500000,3300000,0
2,1,1,2200000,5100000,20,4,3800000,1200000,6400000,3100000,1
4,1,1,5600000,14100000,14,3,9000000,9200000,16500000,6800000,1
4,0,0,9800000,28700000,6,4,16600000,7400000,29700000,11100000,1
4,1,0,4400000,14600000,4,1,1300000,6500000,16100000,5700000,1
2,0,1,2400000,4900000,4,4,6400000,4300000,5100000,3400000,1
1,1,0,4400000,10800000,12,3,9600000,2700000,17200000,5300000,1
4,1,0,3700000,13200000,4,4,9800000,2400000,12500000,4300000,1
4,0,1,2300000,7800000,8,1,1500000,3400000,4700000,2800000,0
4,1,1,5900000,19600000,8,3,17400000,6800000,20100000,8000000,1
4,0,1,6400000,23500000,2,1,7300000,2700000,23600000,3900000,1
4,1,1,4900000,17100000,6,2,1300000,7000000,19500000,5000000,1
3,0,1,9500000,24200000,8,4,3100000,17200000,26400000,12700000,1
2,0,0,5700000,16400000,12,3,3700000,800000,15000000,4400000,1
2,0,1,2700000,5700000,8,4,3500000,5000000,10500000,3900000,1
2,0,1,3900000,11300000,12,1,3100000,0,10400000,4600000,0
0,0,0,7800000,28800000,12,1,4700000,7500000,28800000,7400000,0
0,1,0,1100000,3200000,20,3,1800000,1400000,3600000,1500000,1
4,0,0,200000,600000,10,1,0,100000,400000,0,0
0,0,1,4700000,10600000,20,1,8400000,4000000,12300000,7000000,0
3,0,1,8200000,20600000,10,1,16100000,11400000,29100000,6100000,0
2,0,1,4600000,18400000,2,2,7700000,2400000,14200000,4200000,1
5,0,0,1800000,7000000,18,1,2600000,2100000,6000000,1900000,0
3,1,1,3200000,8600000,2,1,3900000,1800000,7100000,4700000,0
4,0,1,5500000,20000000,14,2,15100000,2700000,19900000,4900000,1
3,1,0,7900000,18300000,10,3,4200000,3400000,22200000,8400000,1
1,1,1,4000000,10100000,16,1,7000000,3900000,14300000,3900000,0
3,0,1,6800000,16900000,18,2,3600000,900000,15600000,4900000,1
1,0,0,2700000,9400000,18,3,5300000,2300000,6400000,2400000,1
2,0,0,6800000,23500000,12,1,19300000,11800000,14300000,8500000,0
5,1,0,8600000,21000000,8,1,11700000,14900000,19500000,9900000,0
4,1,0,8000000,30100000,4,1,11900000,13800000,18800000,11500000,1
1,1,1,3700000,12600000,10,1,5400000,1100000,14200000,4400000,0
0,1,0,2600000,5100000,14,3,500000,1200000,6000000,3100000,1
4,1,0,4200000,16800000,6,1,9600000,3800000,14800000,5900000,0
5,1,1,8000000,28000000,10,1,18500000,1500000,17400000,3900000,0
1,0,0,7100000,23500000,12,4,6400000,12100000,22400000,7300000,1
0,0,0,2000000,7000000,6,3,0,1200000,4300000,1400000,0
4,0,1,5800000,13300000,14,3,16100000,9300000,16300000,7000000,1
3,0,1,6700000,15800000,4,1,10500000,7600000,14100000,9100000,0
2,1,0,7300000,28700000,14,2,5900000,3800000,21200000,10800000,1
4,0,0,3300000,9700000,14,4,2500000,0,10400000,2200000,1
0,1,0,3000000,7000000,10,4,7200000,600000,11700000,2700000,1
4,0,0,7900000,17200000,14,1,14200000,9500000,23200000,9000000,0
5,0,0,7600000,24100000,18,3,21900000,11500000,22900000,7200000,1
5,0,0,3700000,9800000,4,2,9500000,5100000,11200000,3000000,1
2,0,0,8400000,26300000,4,1,22900000,7900000,29200000,6200000,1
0,1,1,8200000,20800000,14,1,3800000,100000,26100000,5200000,0
0,0,0,2900000,9500000,18,4,4300000,2300000,6500000,3500000,1
1,0,1,9900000,38400000,12,2,10000000,9300000,36500000,6800000,1
0,1,0,4400000,14100000,2,1,3300000,1300000,8800000,6200000,1
1,0,1,9000000,32200000,16,1,4500000,16400000,28600000,10900000,0
3,0,1,6800000,26900000,16,4,14700000,10400000,26300000,7300000,1
2,0,0,8700000,28000000,12,1,16900000,6000000,22900000,6700000,0
3,1,0,9400000,21900000,16,3,8100000,5600000,34500000,5000000,1
3,0,1,6000000,12500000,18,4,14600000,5000000,16800000,5000000,1
1,0,1,9400000,29800000,10,1,24100000,18500000,30900000,11700000,0
0,0,1,1000000,4000000,10,2,2400000,1300000,3700000,1100000,1
3,1,1,900000,2300000,20,2,600000,1500000,1900000,500000,1
4,0,0,2100000,7700000,4,4,1200000,1700000,6900000,1300000,1
5,1,1,1100000,3200000,20,2,3200000,700000,3500000,500000,1
0,1,1,600000,2300000,4,1,1600000,800000,2300000,700000,1
4,0,1,9200000,25500000,10,4,9400000,10500000,27400000,12800000,1
2,0,1,3600000,12800000,18,4,8600000,4100000,10300000,4100000,1
5,0,1,1300000,5000000,10,4,2100000,2200000,4800000,1900000,1
5,1,1,7700000,16800000,20,2,8600000,4800000,23400000,8000000,1
4,1,1,9500000,23500000,14,1,22900000,6700000,25100000,7300000,0
2,0,1,5000000,17600000,20,1,6200000,5200000,16500000,5200000,0
0,0,0,500000,1800000,2,1,1300000,500000,1900000,700000,1
1,1,1,8300000,32100000,16,4,18500000,2700000,28900000,7500000,1
0,1,0,5300000,17900000,6,3,4700000,3900000,14400000,3600000,1
2,0,1,9300000,29000000,12,3,7900000,6800000,29900000,4900000,1
3,0,0,2300000,7400000,2,3,6500000,2400000,7600000,2100000,1
1,0,0,400000,1300000,6,3,200000,500000,800000,100000,1
3,0,0,3200000,10800000,4,4,2600000,1000000,8700000,2600000,1
5,0,1,9400000,35300000,16,1,4100000,12500000,37000000,12900000,0
1,1,0,2300000,6600000,2,1,5900000,200000,6000000,2200000,0
5,0,0,4300000,14500000,12,1,12500000,4300000,12500000,5100000,0
0,1,1,6200000,22400000,18,4,15700000,6600000,15800000,8200000,1
